F4/5 Family ID,No of plants required,flowering time,,,620 plants,,,,,,,,,,,,,,
F5_MBxKS_133,5,don't know,,,,,30,F5_MBxKS_107,F5_MBxKS_127,F5_MBxKS_107,F5_MBxKS_127,F5_MBxKS_107,F5_MBxKS_127,F5_MBxKS_107,F5_MBxKS_127,F5_MBxKS_107,F5_MBxKS_127,MBxKSF4_62,MBxKSF4_05
F5_MBxKS_134,5,don't know,,,,,31,F5_MBxKS_108,F5_MBxKS_128,F5_MBxKS_108,F5_MBxKS_128,F5_MBxKS_108,F5_MBxKS_128,F5_MBxKS_108,F5_MBxKS_128,F5_MBxKS_108,F5_MBxKS_128,MBxKSF4_03,MBxKSF4_19
F5_MBxKS_135,5,don't know,,,,,32,F5_MBxKS_109,F5_MBxKS_129,F5_MBxKS_109,F5_MBxKS_129,F5_MBxKS_109,F5_MBxKS_129,F5_MBxKS_109,F5_MBxKS_129,F5_MBxKS_109,F5_MBxKS_129,MBxKSF4_05,MBxKSF4_27
F5_MBxKS_136,5,don't know,,,,,33,F5_MBxKS_110,F5_MBxKS_131,F5_MBxKS_110,F5_MBxKS_131,F5_MBxKS_110,F5_MBxKS_131,F5_MBxKS_110,F5_MBxKS_131,F5_MBxKS_110,F5_MBxKS_131,MBxKSF4_19,MBxKSF4_42
F5_MBxKS_137,5,don't know,,,,,34,F5_MBxKS_111,F5_MBxKS_132,F5_MBxKS_111,F5_MBxKS_132,F5_MBxKS_111,F5_MBxKS_132,F5_MBxKS_111,F5_MBxKS_132,F5_MBxKS_111,F5_MBxKS_132,MBxKSF4_27,MBxKSF4_43
MBxKSF4_02,10,veryearly,,,,,35,F5_MBxKS_112,F5_MBxKS_133,F5_MBxKS_112,F5_MBxKS_133,F5_MBxKS_112,F5_MBxKS_133,F5_MBxKS_112,F5_MBxKS_133,F5_MBxKS_112,F5_MBxKS_133,MBxKSF4_42,MBxKSF4_51
MBxKSF4_28,10,veryearly,,,,,36,F5_MBxKS_113,F5_MBxKS_134,F5_MBxKS_113,F5_MBxKS_134,F5_MBxKS_113,F5_MBxKS_134,F5_MBxKS_113,F5_MBxKS_134,F5_MBxKS_113,F5_MBxKS_134,MBxKSF4_43,MBxKSF4_57
MBxKSF4_30,10,veryearly,,,,,37,F5_MBxKS_114,F5_MBxKS_135,F5_MBxKS_114,F5_MBxKS_135,F5_MBxKS_114,F5_MBxKS_135,F5_MBxKS_114,F5_MBxKS_135,F5_MBxKS_114,F5_MBxKS_135,MBxKSF4_51,MBxKSF4_23
MBxKSF4_34,10,veryearly,,,,,38,F5_MBxKS_115,F5_MBxKS_136,F5_MBxKS_115,F5_MBxKS_136,F5_MBxKS_115,F5_MBxKS_136,F5_MBxKS_115,F5_MBxKS_136,F5_MBxKS_115,F5_MBxKS_136,MBxKSF4_57,MBxKSF4_29
MBxKSF4_36,10,veryearly,,,,,39,F5_MBxKS_116,F5_MBxKS_137,F5_MBxKS_116,F5_MBxKS_137,F5_MBxKS_116,F5_MBxKS_137,F5_MBxKS_116,F5_MBxKS_137,F5_MBxKS_116,F5_MBxKS_137,MBxKSF4_23,MBxKSF4_38
MBxKSF4_56,10,veryearly,,,,,40,F5_MBxKS_117,MBxKSF4_65,F5_MBxKS_117,MBxKSF4_65,F5_MBxKS_117,MBxKSF4_65,F5_MBxKS_117,MBxKSF4_65,F5_MBxKS_117,MBxKSF4_27,MBxKSF4_29,MBxKSF4_41
MBxKSF4_62,10,veryearly,,,,,41,F5_MBxKS_118,MBxKSF4_69,F5_MBxKS_118,MBxKSF4_69,F5_MBxKS_118,MBxKSF4_69,F5_MBxKS_118,MBxKSF4_69,F5_MBxKS_118,MBxKSF4_42,MBxKSF4_38,F5_MBxKS_130
MBxKSF4_03,10,early1,,,,,42,MBxKSF4_60,MBxKSF4_75,MBxKSF4_60,MBxKSF4_75,MBxKSF4_60,MBxKSF4_75,MBxKSF4_60,MBxKSF4_75,MBxKSF4_02,MBxKSF4_43,MBxKSF4_41,MBxKSF4_45
MBxKSF4_05,10,early1,,,,,43,MBxKSF4_13,MBxKSF4_01,MBxKSF4_13,MBxKSF4_01,MBxKSF4_13,MBxKSF4_01,MBxKSF4_13,MBxKSF4_01,MBxKSF4_28,MBxKSF4_51,F5_MBxKS_130,MBxKSF4_03
